normalization,subjectID,markerGroup,pairLabel,comparable,deltaFull,deltaMicro,signFlip
baseline-normalized,SC3001,UTORSO,NEUTRAL-DISGUST,1,-3.50819670379252,0.290758783167612,1
baseline-normalized,SC3001,UTORSO,DISGUST-FEAR,1,-1.31793251312919,-0.937109675783168,0
baseline-normalized,SC3001,UTORSO,DISGUST-JOY,1,1.13539028702905,-0.733593564321106,1
baseline-normalized,SC3001,UTORSO,DISGUST-SAD,1,2.66255608432805,-0.0733933003755127,1
baseline-normalized,SC3001,HEAD,NEUTRAL-DISGUST,1,-2.18260353070789,0.141681170997274,1
baseline-normalized,SC3001,HEAD,DISGUST-FEAR,1,-1.39287861968876,-0.672178263634578,0
baseline-normalized,SC3001,HEAD,DISGUST-JOY,1,0.676162652418949,-0.258194426332363,1
baseline-normalized,SC3001,HEAD,DISGUST-SAD,1,1.43243822626744,-0.243429484450153,1
baseline-normalized,SC3001,UPPER_LIMB_L,NEUTRAL-DISGUST,1,-3.98215099509401,0.0143719330263052,1
baseline-normalized,SC3001,UPPER_LIMB_L,DISGUST-FEAR,1,-1.47039743260577,-0.927691914888918,0
baseline-normalized,SC3001,UPPER_LIMB_L,DISGUST-JOY,1,1.57336191710868,-0.714264357194796,1
baseline-normalized,SC3001,UPPER_LIMB_L,DISGUST-SAD,1,3.09826499951365,-0.272085914871682,1
baseline-normalized,SC3001,UPPER_LIMB_R,NEUTRAL-DISGUST,1,-4.86343812476507,0.316696237148668,1
baseline-normalized,SC3001,UPPER_LIMB_R,DISGUST-FEAR,1,-1.26762871875945,-1.03922076607719,0
baseline-normalized,SC3001,UPPER_LIMB_R,DISGUST-JOY,1,0.806793999536285,-0.906730066865247,1
baseline-normalized,SC3001,UPPER_LIMB_R,DISGUST-SAD,1,2.69049944060541,-0.227767634084766,1
baseline-normalized,SC3001,WRIST_L,NEUTRAL-DISGUST,1,-4.02561334257504,0.106732507997387,1
baseline-normalized,SC3001,WRIST_L,DISGUST-FEAR,1,-1.43761321112122,-1.37120179004239,0
baseline-normalized,SC3001,WRIST_L,DISGUST-JOY,1,1.58507741416092,-1.06536788634019,1
baseline-normalized,SC3001,WRIST_L,DISGUST-SAD,1,2.82725508318641,-0.779171546008414,1
baseline-normalized,SC3001,WRIST_R,NEUTRAL-DISGUST,1,-5.455790731336,0.479066150948044,1
baseline-normalized,SC3001,WRIST_R,DISGUST-FEAR,1,-1.4060130302687,-1.29382977237093,0
baseline-normalized,SC3001,WRIST_R,DISGUST-JOY,1,1.22219698211743,-1.43544820976647,1
baseline-normalized,SC3001,WRIST_R,DISGUST-SAD,1,2.54518331260917,-0.734020536912297,1
baseline-normalized,SC3001,LTORSO,NEUTRAL-DISGUST,1,-3.79695789260233,0.129213329709331,1
baseline-normalized,SC3001,LTORSO,DISGUST-FEAR,1,-0.727853198157205,-1.07630140926413,0
baseline-normalized,SC3001,LTORSO,DISGUST-JOY,1,0.842324610525131,-0.713396370974957,1
baseline-normalized,SC3001,LTORSO,DISGUST-SAD,1,2.74777473992347,-0.176721645640567,1
