exp,GroupCount,mean_clipMinusPre,mean_clipOverPre,mean_logClipOverPre,mean_valence,mean_dominance
1,47,0.680268473417506,1.03349509242513,0.0294359640432036,6.58936170212766,6.06808510638298
2,47,0.622612168453099,1.03244127294038,0.0285739885871354,5.92765957446809,5.87659574468085
3,46,1.4528765372103,1.07206866679389,0.0639191089535636,6.96086956521739,5.69782608695652
4,48,0.289598664057813,1.01544443060823,0.0121758577063611,6.78333333333333,6.14583333333333
5,45,1.49599558869837,1.06986457197688,0.0636616436961871,6.38222222222222,5.87333333333333
6,47,0.301381246092545,1.01688256464193,0.0135868496765893,6.52765957446808,5.6
7,47,0.262686053694293,1.01621408242327,0.0126980322538774,6.15744680851064,5.83191489361702
8,47,0.356948601321649,1.01821047850361,0.0146078500413858,6.92340425531915,5.5063829787234
9,47,0.458465276457372,1.02447177946595,0.0196418244996278,7.26808510638298,5.70212765957447
10,46,0.949516566541779,1.04936562706474,0.044049210275622,4.82173913043478,5.71739130434783
11,47,0.471360553293656,1.02383164407575,0.0200217085550151,7.45744680851064,5.62340425531915
12,46,0.676830945958615,1.0359300796355,0.0318662050118358,7.04565217391304,6.0304347826087
13,47,0.573464951661865,1.03042063570498,0.0262573245182481,6.58723404255319,5.58085106382979
14,47,0.804771653049199,1.0415640855158,0.0361150383817438,7.1936170212766,5.79787234042553
15,46,0.335097757401266,1.01532826813935,0.0128744665270164,6.14782608695652,6.2695652173913
17,47,0.675866637917582,1.03318075475341,0.0305424522826678,5.22978723404255,6.68510638297872
18,46,0.348030671238242,1.02028625639193,0.0165087359477958,7.31521739130435,5.8695652173913
19,46,0.673490015598687,1.03330824747677,0.0288642019843661,7.15434782608696,6.18913043478261
20,47,0.351217015623546,1.01790485385642,0.0147273551192831,7.28297872340426,5.88085106382979
21,47,0.382065029560653,1.0214339570958,0.0175278610112985,3.86382978723404,5.88723404255319
22,46,0.47445995555587,1.02438108028573,0.0208316629186931,5.1304347826087,6.10434782608696
23,47,1.03881085877996,1.05138371775365,0.0470573905256734,3.42765957446809,5.72553191489362
24,47,0.118203884340302,1.00983295241142,0.00589426910119382,3.93404255319149,5.3531914893617
25,47,0.987870029279883,1.04976289314466,0.045373982404876,4.91914893617021,6.06170212765957
26,47,0.287395595116808,1.0179946679868,0.0144209668665176,5.24893617021277,6.46382978723404
27,48,0.41918630845091,1.02081427474259,0.018799381480613,5.7625,6.26875
28,46,0.71717639186814,1.03617062763134,0.033043045642556,4.2,5.75869565217391
29,47,0.52804003039715,1.02696334727424,0.0250981293288591,4.5063829787234,5.46808510638298
30,48,0.175470863082031,1.0117255119759,0.00915388963245899,3.22708333333333,4.89791666666667
31,47,0.119471255753841,1.00609337352343,0.00426724004012009,3.17446808510638,5.73191489361702
32,47,0.305759154818187,1.01599777192251,0.014397307587874,3.5531914893617,5.3936170212766
33,46,0.354488800516314,1.02292114050973,0.0198192698422775,3.9304347826087,5.96304347826087
34,47,0.475096056993557,1.02380616737633,0.0219922386793683,4.10851063829787,5.48085106382979
36,48,0.303881311974403,1.01653365901175,0.0146629096135991,3.52916666666667,5.5625
37,47,0.225826712929899,1.01390242124752,0.0112342452725159,2.35744680851064,4.46170212765957
38,45,0.385506962810948,1.02147133627565,0.0174948100638405,2.89555555555556,5.32888888888889
39,47,0.768574671018284,1.03778713604141,0.0342381949995196,2.98085106382979,5.50212765957447
40,46,0.44754919134059,1.0274256683527,0.0225617663587958,4.44782608695652,5.92391304347826
