rating,metric,nRows,nSubjects,modelSpec,AIC,BIC,within_beta,within_SE,within_t,within_p,within_CI_lo,within_CI_hi,between_beta,between_p
valence,clipDynamicMedian,1681,46,outcomeZ ~ 1 + ratingWSZ + ratingBSZ + (1 + ratingWSZ | participantID),3391.06397824776,3429.04148345695,0.137254576346929,0.0271844144108288,5.04901721525603,4.92405761217495e-07,0.0839356439506712,0.190573508743186,0.323088397292559,0.000849858510462127
valence,bh3_hr_mean,1681,46,outcomeZ ~ 1 + ratingWSZ + ratingBSZ + (1 + ratingWSZ | participantID),-380.725889364112,-342.748384154922,0.0233615476788004,0.00663528367021145,3.520806168948,0.000441734601843621,0.0103472433757779,0.0363758519818229,0.19551908300976,0.164905525015502
valence,e4_eda_std,1681,46,outcomeZ ~ 1 + ratingWSZ + ratingBSZ + (1 + ratingWSZ | participantID),3329.36108289908,3367.33858810827,0.0461291391390898,0.0231962446284289,1.98864686409431,0.0469023849908536,0.000632518152559207,0.0916257601256203,0.0340165619442536,0.717780344250457
valence,bh3_br_mean,1681,46,outcomeZ ~ 1 + ratingWSZ + ratingBSZ + (1 + ratingWSZ | participantID),3500.99933745151,3538.9768426607,0.0466882734900912,0.0177416653259228,2.63156094044192,0.00857723472182739,0.0118901483653843,0.0814863986147981,-0.128370330220007,0.243972067721729
valence,e4_hr_mean,1681,46,outcomeZ ~ 1 + ratingWSZ + ratingBSZ + (1 + ratingWSZ | participantID),4187.38569263183,4225.36319784102,0.0491085097651923,0.0204902546267266,2.39667640348097,0.0166533706614921,0.0089193600298447,0.08929765950054,-0.000793428212561988,0.992908140246076
valence,e4_eda_mean,1681,46,outcomeZ ~ 1 + ratingWSZ + ratingBSZ + (1 + ratingWSZ | participantID),910.94426867925,948.92177388844,0.0167020718646752,0.0101314372169333,1.64853924542512,0.0994292612863044,-0.00316951366528239,0.0365736573946329,0.0181894950202033,0.885474947691289
valence,e4_skt_mean,1681,46,outcomeZ ~ 1 + ratingWSZ + ratingBSZ + (1 + ratingWSZ | participantID),1568.23379984823,1606.21130505742,-0.00931432268925238,0.010929168638998,-0.852244392681115,0.394200080300519,-0.0307505616680809,0.0121219162895761,-0.224871987893845,0.106790234903507
arousal,clipDynamicMedian,1681,46,outcomeZ ~ 1 + ratingWSZ + ratingBSZ + (1 + ratingWSZ | participantID),3373.84148418809,3411.81898939728,0.110321947153746,0.0321368049677599,3.43288473338972,0.000611706520392886,0.0472895012230678,0.173354393084423,0.12841276679458,0.205144243544946
arousal,bh3_hr_mean,1681,46,outcomeZ ~ 1 + ratingWSZ + ratingBSZ + (1 + ratingWSZ | participantID),-353.100467589482,-315.122962380292,0.00810881229272256,0.00561208788479555,1.44488334095608,0.148677363310777,-0.00289861755325834,0.0191162421387035,0.204813206547353,0.146973110597053
arousal,e4_eda_std,1681,46,outcomeZ ~ 1 + ratingWSZ + ratingBSZ + (1 + ratingWSZ | participantID),3340.91402851746,3378.89153372665,0.0444474966612034,0.0230318968198356,1.92982354032275,0.0537970949533693,-0.000726776028121524,0.0896217693505283,0.00102204066893453,0.992616423656341
arousal,bh3_br_mean,1681,46,outcomeZ ~ 1 + ratingWSZ + ratingBSZ + (1 + ratingWSZ | participantID),3494.15317922566,3532.13068443485,0.0654461072971912,0.0158772240002777,4.12201196481491,3.93911337838881e-05,0.0343048577445128,0.0965873568498697,0.0166938845002551,0.882015231641874
arousal,e4_hr_mean,1681,46,outcomeZ ~ 1 + ratingWSZ + ratingBSZ + (1 + ratingWSZ | participantID),4191.78787830579,4229.76538351498,-0.00747830722023787,0.0223481369802199,-0.334627769055507,0.737947715760327,-0.0513114678991006,0.0363548534586249,0.0678158267596539,0.450313311193058
arousal,e4_eda_mean,1681,46,outcomeZ ~ 1 + ratingWSZ + ratingBSZ + (1 + ratingWSZ | participantID),909.82648980239,947.80399501158,0.0167400782744188,0.00806703981589559,2.07512032374423,0.038127445843237,0.000917557911047799,0.0325625986377898,-0.0761214019560969,0.565238338648275
arousal,e4_skt_mean,1681,46,outcomeZ ~ 1 + ratingWSZ + ratingBSZ + (1 + ratingWSZ | participantID),1572.49669269026,1610.47419789945,0.0110973420753233,0.0106387182980557,1.04310893139744,0.297048098247629,-0.00976921378070061,0.0319638979313473,-0.20219714542631,0.160064223649097
liking,clipDynamicMedian,1681,46,outcomeZ ~ 1 + ratingWSZ + ratingBSZ + (1 + ratingWSZ | participantID),3398.38693859854,3436.36444380773,0.12371020128843,0.026406940575713,4.68476084663169,3.02882698919233e-06,0.0719161895407438,0.175504213036116,0.222745704735157,0.0249181716891763
liking,bh3_hr_mean,1681,46,outcomeZ ~ 1 + ratingWSZ + ratingBSZ + (1 + ratingWSZ | participantID),-360.286759078039,-322.309253868849,0.0132245388570574,0.00566187398753902,2.33571762391087,0.0196232353574244,0.00211945960777008,0.0243296181063448,0.331079019800349,0.015432336227192
liking,e4_eda_std,1681,46,outcomeZ ~ 1 + ratingWSZ + ratingBSZ + (1 + ratingWSZ | participantID),3341.67251138684,3379.65001659603,0.0378546957114369,0.0233020015546052,1.62452549935375,0.104451508087939,-0.00784935466135925,0.0835587460842331,0.122669100859636,0.221009219917893
liking,bh3_br_mean,1681,46,outcomeZ ~ 1 + ratingWSZ + ratingBSZ + (1 + ratingWSZ | participantID),3495.64904812337,3533.62655333256,0.0617422295518733,0.0176389662912772,3.50033151219331,0.000476827924900973,0.0271455361300044,0.0963389229737421,-0.0482303326162707,0.671910019939359
liking,e4_hr_mean,1681,46,outcomeZ ~ 1 + ratingWSZ + ratingBSZ + (1 + ratingWSZ | participantID),4191.153504294,4229.13100950319,0.0153740649766763,0.019677909294368,0.781285488549154,0.434744815863512,-0.0232217678968894,0.0539698978502419,0.139820869066552,0.116003060064097
liking,e4_eda_mean,1681,46,outcomeZ ~ 1 + ratingWSZ + ratingBSZ + (1 + ratingWSZ | participantID),885.223309218331,923.200814427521,0.0165031942012708,0.0113356070098874,1.45587211932066,0.145615038565535,-0.00573022435601716,0.0387366127585588,0.0761654577296463,0.521021425959487
liking,e4_skt_mean,1681,46,outcomeZ ~ 1 + ratingWSZ + ratingBSZ + (1 + ratingWSZ | participantID),1561.2457334173,1599.22323862649,-0.0193962063570237,0.0120958178601099,-1.60354649692514,0.109002246219072,-0.0431206863113808,0.00432827359733337,-0.0907200023451885,0.533870395887986
familiarity,clipDynamicMedian,1681,46,outcomeZ ~ 1 + ratingWSZ + ratingBSZ + (1 + ratingWSZ | participantID),3424.0128210162,3461.99032622539,0.104756682777349,0.024430813873662,4.28789164859888,1.90641472300621e-05,0.0568386039241792,0.152674761630519,-0.110114729813792,0.292477880164506
familiarity,bh3_hr_mean,1681,46,outcomeZ ~ 1 + ratingWSZ + ratingBSZ + (1 + ratingWSZ | participantID),-351.986242559009,-314.008737349819,0.00231350621065524,0.00584076346143008,0.396096542161423,0.692084168042037,-0.00914244304894949,0.01376945547026,-0.210162689640293,0.134334187393492
familiarity,e4_eda_std,1681,46,outcomeZ ~ 1 + ratingWSZ + ratingBSZ + (1 + ratingWSZ | participantID),3292.67462174891,3330.6521269581,0.0570053023474872,0.026793190558972,2.12760410978372,0.0335153656501827,0.00445370809556896,0.109556896599405,0.0669475233903842,0.517488301455757
familiarity,bh3_br_mean,1681,46,outcomeZ ~ 1 + ratingWSZ + ratingBSZ + (1 + ratingWSZ | participantID),3493.23273471544,3531.21023992463,0.0652930691867223,0.0173822443271746,3.75630833152231,0.000178328702735225,0.0311999047664997,0.0993862336069449,-0.0866095515100452,0.441647558117791
familiarity,e4_hr_mean,1681,46,outcomeZ ~ 1 + ratingWSZ + ratingBSZ + (1 + ratingWSZ | participantID),4192.14062556564,4230.11813077483,0.000685424884574877,0.0223356616096935,0.0306874672688185,0.975522435523712,-0.0431232668678044,0.0444941166369541,0.0250415742732888,0.781811556812285
familiarity,e4_eda_mean,1681,46,outcomeZ ~ 1 + ratingWSZ + ratingBSZ + (1 + ratingWSZ | participantID),875.053973624476,913.031478833666,0.02000543760847,0.0104694416193835,1.91084093457584,0.0561952759317164,-0.000529102569379505,0.0405399777863194,0.0276485638608664,0.822184068132712
familiarity,e4_skt_mean,1681,46,outcomeZ ~ 1 + ratingWSZ + ratingBSZ + (1 + ratingWSZ | participantID),1570.07951814043,1608.05702334962,-0.0104324242551743,0.0112980409895979,-0.92338346663633,0.355940159890439,-0.0325921616190424,0.0117273131086939,-0.0598087371884285,0.681216853191233
