motionMetric,ratingMetric,nRows,pearson_r,pearson_p,spearman_rho,spearman_p,withinSubject_r,withinSubject_p,meanBaselineSelectedFrac,meanClipSelectedFrac,meanPreSelectedFrac,meanWalkSelectedFrac
clipDynamicMedian,valence,1673,0.194346496323915,1.05860755287156e-15,0.186214574262621,1.61381115919074e-14,0.201253049041418,9.51093907585742e-17,0.899430288229148,0.982275232635648,0.985811090014863,0.886435101940884
clipDynamicMedian,dominance,1673,0.00638333106131724,0.794169178256286,0.0564577063194692,0.0209232017319672,-0.0869261449280224,0.000371472178971752,0.899430288229148,0.982275232635648,0.985811090014863,0.886435101940884
clipMinusBaseline,valence,1673,0.0442820911215862,0.0701757081835017,0.0593245577540015,0.0152311332866715,0.0833792412818228,0.000640632846142729,0.899430288229148,0.982275232635648,0.985811090014863,0.886435101940884
clipMinusBaseline,dominance,1673,-0.0542637897876111,0.0264533064073097,-0.0650204221995807,0.00780678609479748,-0.0267975781732719,0.273314865402741,0.899430288229148,0.982275232635648,0.985811090014863,0.886435101940884
clipMinusPre,valence,1673,0.161839407010634,2.76447108160838e-11,0.155109533029496,1.79138853564839e-10,0.157809821400778,8.54530991357676e-11,0.899430288229148,0.982275232635648,0.985811090014863,0.886435101940884
clipMinusPre,dominance,1673,0.0014156895288738,0.953858759341119,0.0611542517033682,0.0123555622796287,-0.065756778270623,0.00713435526219686,0.899430288229148,0.982275232635648,0.985811090014863,0.886435101940884
baselineDynamicMedian,valence,1673,0.0501919985141493,0.0400988934288685,0.0417490774130108,0.0878030585295719,-0.00960307788124457,0.694686105327558,0.899430288229148,0.982275232635648,0.985811090014863,0.886435101940884
baselineDynamicMedian,dominance,1673,0.0519855715651728,0.0334883521087428,0.0621468385364747,0.0110060089421992,-0.00539722464500313,0.825407302959251,0.899430288229148,0.982275232635648,0.985811090014863,0.886435101940884
preDynamicMedian,walkDynamicMedian,1673,-0.0956895576452675,8.85498085518446e-05,-0.160333210878672,4.22932379633e-11,0.0493687020149627,0.0434855064835755,0.899430288229148,0.982275232635648,0.985811090014863,0.886435101940884
walkDynamicMedian,valence,1673,0.0618870821950882,0.0113459105333929,0.0682120029955675,0.00525137606669986,0.0618258262919915,0.0114274106065365,0.899430288229148,0.982275232635648,0.985811090014863,0.886435101940884
walkDynamicMedian,dominance,1673,-0.0202700615852837,0.407354537436086,-0.020429209556895,0.403681268572299,-0.0341306819522572,0.162899083702492,0.899430288229148,0.982275232635648,0.985811090014863,0.886435101940884
