participantID,lowMed,midMed,highMed,nLow,nMid,nHigh,highMinusLow
02-9TZO,-0.0513191154286812,0.153085210874119,-0.29346107028808,7,10,21,-0.242141954859399
04-9U66,-0.305104811830231,0.16594859867987,-0.26476430750423,4,4,11,0.040340504326001
05-9U8B,0.086673876044534,0.310398592439034,-0.196095200456865,4,21,13,-0.282769076501399
06-9UA7,-0.316703556454226,-0.279709005794576,0.190384335517914,3,25,10,0.50708789197214
07-9UAD,NaN,-0.0184020637681197,-0.0525737591812199,0,19,19,NaN
08-9UB2,-1.41756061397458,-0.15829967890549,0.00434802460857941,8,18,12,1.42190863858316
09-9UDP,-0.26866191259158,0.57096025259383,-0.00732882217825415,4,7,8,0.261333090413326
10-9UHM,-2.24609275594798,-1.34994716450966,0.761368834719229,1,23,14,3.00746159066721
11-9UIZ,-0.462572909387708,0.0397646196484818,-0.00296325867287806,3,14,21,0.45960965071483
12-9UN3,-0.447388002301206,-0.197966790170256,-0.149311991927496,3,21,14,0.29807601037371
13-9UOF,NaN,-0.408699921353747,0.508276506840252,0,23,15,NaN
14-9UP0,-0.131062179476575,0.0525575796334499,-0.0861805653682248,2,14,7,0.0448816141083501
15-9UR2,-0.258808047712769,-0.21477987298351,-0.0634061372631001,6,15,17,0.195401910449669
16-9USC,-1.39225729079467,-1.36475134412554,-0.297730882137446,3,19,16,1.09452640865722
17-9UTL,-0.371034119614926,-0.0404511886997563,-0.0673480386904663,7,19,12,0.303686080924459
18-9UVM,-0.905061747372104,-1.31077062000495,0.723560250954396,4,16,18,1.6286219983265
19-9UY7,-0.50954567111147,-0.0940725669857709,0.0908031066034898,1,17,20,0.600348777714959
20-9V52,-1.23481877194605,-1.3280980975586,-0.154808546042954,7,14,17,1.0800102259031
21-9V5J,-0.0215988069676989,-0.170348677383344,-0.073709764816249,2,18,18,-0.0521109578485501
22-9V5N,-1.12782034573477,-0.504552030566991,0.0352982215672188,4,18,16,1.16311856730198
23-9VIV,0.0916811438020178,-0.526197774794432,-0.423195488520347,11,11,16,-0.514876632322365
24-9VL3,-0.188256559819909,-0.226614572903649,0.0624009324611414,8,16,14,0.25065749228105
25-9VNK,-0.270731369058508,-0.0285565634370375,0.0901103105179732,3,19,16,0.360841679576481
26-9VTJ,-0.417241332845077,0.0260640397799534,0.102416247979553,4,17,17,0.519657580824631
27-9VUW,-1.36514249637166,-1.16496079246489,1.81644363173293,5,20,13,3.18158612810459
28-9VXK,-1.96414157645312,-2.13269559351414,-0.0547198692181965,5,20,13,1.90942170723492
29-9VXR,-0.210792525834204,-0.190443333076405,-0.626142928891804,1,20,17,-0.4153504030576
30-9VYD,NaN,-0.11667300639294,-0.66637252689034,0,23,15,NaN
31-9VZJ,-0.194145915823642,-0.347724858660942,-0.0362140512761826,9,16,13,0.157931864547459
32-9VZN,-1.30039564666682,-0.510707429098069,-1.55249927971966,2,33,3,-0.252103633052835
33-9VZR,-0.123296151839357,-0.0436281492649861,0.0302948639000933,15,9,14,0.15359101573945
34-9W1R,-0.404175329444444,0.123096710508821,-0.048608942629254,6,6,12,0.35556638681519
36-9W4C,-0.591921602052439,-0.0728840584364896,0.179500642386511,8,19,11,0.77142224443895
37-9W4X,-0.1885828186997,-0.171817087618971,0.0634901401954497,5,16,17,0.25207295889515
38-9W6A,0.154450415933403,0.0436560543260134,-0.0779848567535164,12,12,14,-0.23243527268692
39-9W6G,-0.116818147797788,-0.0285455752964832,0.492648318718562,13,16,9,0.609466466516349
40-9W74,-0.138435650105812,-0.0440072591822265,0.185314105491782,8,13,17,0.323749755597595
41-9W7K,-1.03144307956126,-0.342245526152047,-0.146332160148265,8,14,16,0.88511091941299
42-9W7R,-0.917091562441836,-1.05629026417853,-0.718329986226045,11,10,17,0.198761576215791
43-9W91,NaN,-0.342474024268002,0.0373768388882993,0,17,21,NaN
44-9WAY,-0.651819265277162,-0.332419615696061,0.385626459486788,7,13,18,1.03744572476395
45-9WBS,-0.227587802188105,-0.286077404042165,0.222958479771805,7,17,14,0.45054628195991
46-9WCE,-0.185793465070366,-0.359312538969505,0.198568929240075,4,18,16,0.384362394310441
47-9WCU,-0.707750134095583,-0.734973200135459,-0.126606861283777,8,9,21,0.581143272811806
48-9WDR,-0.183550122152178,0.00205223220867268,-0.0301260603567126,7,19,12,0.153424061795465
49-9WEW,-0.129778053314653,0.0558149230072065,-0.0798180784656179,7,19,12,0.0499599748490351
