exp,GroupCount,mean_preDynamicMedian,mean_walkDynamicMedian,mean_valence,mean_dominance
1,47,22.3341968477078,227.801857609529,6.58936170212766,6.06808510638298
2,47,22.0856694836283,226.217806933292,5.92765957446809,5.87659574468085
3,46,21.6547240820899,229.502020632826,6.96086956521739,5.69782608695652
4,48,22.6017931905454,230.396196596525,6.78333333333333,6.14583333333333
5,45,21.642869806673,224.896325292424,6.38222222222222,5.87333333333333
6,47,22.0376628342816,224.614231579443,6.52765957446808,5.6
7,47,21.95608954946,228.41728979612,6.15744680851064,5.83191489361702
8,47,22.4353867939851,229.319197585542,6.92340425531915,5.5063829787234
9,47,22.5624047536712,225.957511229036,7.26808510638298,5.70212765957447
10,46,21.9869867214823,222.724014834987,4.82173913043478,5.71739130434783
11,47,22.2516234141614,224.272028096456,7.45744680851064,5.62340425531915
12,46,21.9500318020403,224.402486641235,7.04565217391304,6.0304347826087
13,47,22.0840045653385,226.719225310193,6.58723404255319,5.58085106382979
14,47,22.2345188373484,223.912437100423,7.1936170212766,5.79787234042553
15,46,22.3510225024745,226.83686871579,6.14782608695652,6.2695652173913
17,47,21.8466309747275,223.294080348218,5.22978723404255,6.68510638297872
18,46,22.0332523268661,221.855649769606,7.31521739130435,5.8695652173913
19,46,22.1273839411291,226.067161086507,7.15434782608696,6.18913043478261
20,47,21.8815168761198,224.409172653096,7.28297872340426,5.88085106382979
21,47,22.0209894488248,226.67841152542,3.86382978723404,5.88723404255319
22,46,22.2639400070273,221.56166575858,5.1304347826087,6.10434782608696
23,47,21.895129144599,220.9352878418,3.42765957446809,5.72553191489362
24,47,22.5292732169964,225.053118702053,3.93404255319149,5.3531914893617
25,47,21.9932855929992,222.538663953477,4.91914893617021,6.06170212765957
26,47,21.8534375402695,220.039802216968,5.24893617021277,6.46382978723404
27,48,21.976703667984,225.846127190044,5.7625,6.26875
28,46,22.0166107594274,223.963710212467,4.2,5.75869565217391
29,47,21.9171363109655,223.801219288708,4.5063829787234,5.46808510638298
30,48,22.1429269154243,223.13405721299,3.22708333333333,4.89791666666667
31,47,22.1959658326613,225.562231790976,3.17446808510638,5.73191489361702
32,47,22.0113689886055,225.725410702999,3.5531914893617,5.3936170212766
33,46,22.0909999837587,230.989947583526,3.9304347826087,5.96304347826087
34,47,22.3570880186951,223.864268334311,4.10851063829787,5.48085106382979
36,48,21.819412139289,225.740934549825,3.52916666666667,5.5625
37,47,22.6230268125338,229.094101678696,2.35744680851064,4.46170212765957
38,45,22.3543040060264,222.561099616117,2.89555555555556,5.32888888888889
39,47,21.9728413691321,222.989877867198,2.98085106382979,5.50212765957447
40,46,22.2867957027543,224.68954361617,4.44782608695652,5.92391304347826
