markerGroup,pairLabel,ksD,delta,nRows
L-Wrist,DISGUST-FEAR,0.332342738942593,-5.86744279289713,26
L-Wrist,DISGUST-JOY,0.184907188316429,-0.830412142997062,23
L-Wrist,DISGUST-NEUTRAL,0.197500026775658,-2.11785522352392,22
L-Wrist,DISGUST-SAD,0.257991590226111,-0.74239898690595,24
L-Wrist,FEAR-JOY,0.328304870335231,4.75531669808937,25
L-Wrist,FEAR-NEUTRAL,0.153271894366816,2.15312581086289,24
L-Wrist,FEAR-SAD,0.302361451294434,3.60125156225639,25
L-Wrist,JOY-NEUTRAL,0.154248194351405,-0.426550970878753,22
L-Wrist,JOY-SAD,0.22457841748644,0.203862245548986,23
L-Wrist,NEUTRAL-SAD,0.182520367345769,0.504996806414512,22
L-arm,DISGUST-FEAR,0.228298261377488,-4.03871005656591,28
L-arm,DISGUST-JOY,0.118621192738378,-0.756123204608576,28
L-arm,DISGUST-NEUTRAL,0.1767224535437,-0.849868731460013,28
L-arm,DISGUST-SAD,0.186616101885016,-0.908932315691523,28
L-arm,FEAR-JOY,0.263433772035178,4.06644085883499,28
L-arm,FEAR-NEUTRAL,0.18551970566669,2.63443508842841,28
L-arm,FEAR-SAD,0.217236998468841,3.19951368075199,28
L-arm,JOY-NEUTRAL,0.140408173465918,0.411053183461561,28
L-arm,JOY-SAD,0.143422388631508,-0.265173476144449,28
L-arm,NEUTRAL-SAD,0.172225877108639,-0.251130240326776,28
L-leg,DISGUST-FEAR,0.127497962739087,-1.43319657233967,28
L-leg,DISGUST-JOY,0.0828944959170931,0.319901117963796,28
L-leg,DISGUST-NEUTRAL,0.103325276206007,0.219358181781191,28
L-leg,DISGUST-SAD,0.0861225695453793,0.0402545479328569,28
L-leg,FEAR-JOY,0.172233107909544,2.30296599755423,28
L-leg,FEAR-NEUTRAL,0.105208693396896,1.65653045376986,28
L-leg,FEAR-SAD,0.116540863263174,1.63589583978488,28
L-leg,JOY-NEUTRAL,0.0800963238722782,0.298137824043013,28
L-leg,JOY-SAD,0.0837084652229897,0.0630240739850438,28
L-leg,NEUTRAL-SAD,0.0886128116434714,-0.602283283855175,28
R-Wrist,DISGUST-FEAR,0.301424343322235,-4.56059708017528,27
R-Wrist,DISGUST-JOY,0.149591550248622,-0.638398615498204,21
R-Wrist,DISGUST-NEUTRAL,0.200638897247689,-1.8066306633464,22
R-Wrist,DISGUST-SAD,0.256084519082841,-1.16417251906942,24
R-Wrist,FEAR-JOY,0.317060467477033,2.7716156806632,22
R-Wrist,FEAR-NEUTRAL,0.212792247871013,2.1977888644794,22
R-Wrist,FEAR-SAD,0.249264065288103,3.33426066349555,24
R-Wrist,JOY-NEUTRAL,0.158951666685941,-0.748363926698863,18
R-Wrist,JOY-SAD,0.183836402541823,0.342768930037277,19
R-Wrist,NEUTRAL-SAD,0.173102323968089,0.845982347188237,21
R-arm,DISGUST-FEAR,0.249096812511197,-4.35598368893847,28
R-arm,DISGUST-JOY,0.172225078612991,-0.828518577322903,28
R-arm,DISGUST-NEUTRAL,0.164125052275183,-0.784784853624446,28
R-arm,DISGUST-SAD,0.224514102397785,-0.852530921773188,28
R-arm,FEAR-JOY,0.293471848418887,4.4335726568615,28
R-arm,FEAR-NEUTRAL,0.178873464331936,2.70779604547832,28
R-arm,FEAR-SAD,0.19744660121906,3.12502166606998,28
R-arm,JOY-NEUTRAL,0.121265819837796,0.795031608187788,28
R-arm,JOY-SAD,0.155776125751878,-0.0873187392975812,28
R-arm,NEUTRAL-SAD,0.153604992791927,-0.627302283061291,28
R-leg,DISGUST-FEAR,0.138914012197848,-1.41861146866475,28
R-leg,DISGUST-JOY,0.0965779057273961,-0.020720914596607,28
R-leg,DISGUST-NEUTRAL,0.0785460991882267,0.375237476367721,28
R-leg,DISGUST-SAD,0.0910885875228155,0.280530994597113,28
R-leg,FEAR-JOY,0.158360431176128,1.79020869550851,28
R-leg,FEAR-NEUTRAL,0.13143116746366,1.53302327355759,28
R-leg,FEAR-SAD,0.140253747828335,1.58196721697509,28
R-leg,JOY-NEUTRAL,0.0959791306746892,0.334418243380597,28
R-leg,JOY-SAD,0.0808089545514223,-0.242449724027979,28
R-leg,NEUTRAL-SAD,0.0815506380313853,-0.419149765195766,28
Waist,DISGUST-FEAR,0.271829583005353,-4.87156144282566,28
Waist,DISGUST-JOY,0.155129329658769,-0.332906823781822,28
Waist,DISGUST-NEUTRAL,0.159674415742125,0.117726273638532,28
Waist,DISGUST-SAD,0.190722165239348,-1.46988167644242,28
Waist,FEAR-JOY,0.306338205977476,4.9057194299585,28
Waist,FEAR-NEUTRAL,0.182884982159498,2.78341156340723,28
Waist,FEAR-SAD,0.213794723606479,3.59640741573059,28
Waist,JOY-NEUTRAL,0.12891730566379,-0.122095206130694,28
Waist,JOY-SAD,0.140508749656792,0.189013843386671,28
Waist,NEUTRAL-SAD,0.183846150952181,-0.695626492157617,28
head,DISGUST-FEAR,0.235273898228077,-3.19036770380494,28
head,DISGUST-JOY,0.194921976302687,-1.03690467861841,26
head,DISGUST-NEUTRAL,0.152104881150551,-0.29681521400286,28
head,DISGUST-SAD,0.14860692662885,-1.02363355318033,28
head,FEAR-JOY,0.241662764892739,2.87775132126146,26
head,FEAR-NEUTRAL,0.144937869452435,2.05137647722486,28
head,FEAR-SAD,0.200572814145725,3.37330803254107,28
head,JOY-NEUTRAL,0.138682607699196,0.421409749457898,26
head,JOY-SAD,0.135737914531976,0.39313404252428,26
head,NEUTRAL-SAD,0.120299804289783,-0.224360508377512,28
uppertorso,DISGUST-FEAR,0.235761672938213,-4.32060759666232,28
uppertorso,DISGUST-JOY,0.167236184155644,-1.08708228640181,28
uppertorso,DISGUST-NEUTRAL,0.197101732317439,-0.613264815395592,28
uppertorso,DISGUST-SAD,0.205872859262737,-0.918336264828929,28
uppertorso,FEAR-JOY,0.267160176279578,4.38616775243705,28
uppertorso,FEAR-NEUTRAL,0.176659403498266,2.42058225429502,28
uppertorso,FEAR-SAD,0.170198817742222,2.51941421665201,28
uppertorso,JOY-NEUTRAL,0.141636706773504,-0.0492191964901529,28
uppertorso,JOY-SAD,0.158915989157324,0.216586101740289,28
uppertorso,NEUTRAL-SAD,0.159913613600258,-0.528163145434199,28
