normalization,markerGroup,emotion,nFull,medianFull,nMicro,medianMicro
absolute,HEAD,DISGUST,399615,68.7986498641958,106061,20.4389328559157
absolute,HEAD,NEUTRAL,394105,78.4424673192515,101481,19.0089310281247
absolute,HEAD,JOY,399480,73.9064932514141,100371,19.4276732908033
absolute,HEAD,SAD,393675,64.1576431472525,119153,19.0978518645069
absolute,UTORSO,DISGUST,879159,46.7962625729803,340501,18.9289595528467
absolute,UTORSO,NEUTRAL,878828,65.6234224320795,275709,17.2252101639398
absolute,UTORSO,JOY,876420,53.413735103714,306712,18.1892425803303
absolute,UTORSO,SAD,878749,50.7250680457324,330940,17.2573228787664
absolute,LTORSO,DISGUST,389857,51.9943013731894,140904,18.0891058859645
absolute,LTORSO,NEUTRAL,399099,74.8815416001733,114530,16.6962977965562
absolute,LTORSO,JOY,397522,60.2223995511996,132033,17.7210925005187
absolute,LTORSO,SAD,391869,58.6890953725132,133924,16.884824114557
baseline-normalized,HEAD,DISGUST,399615,7.8380348925083,106061,2.54255735653975
baseline-normalized,HEAD,NEUTRAL,394105,9.00362323523511,101481,2.3385551900217
baseline-normalized,HEAD,JOY,399480,8.54640727982545,100371,2.31192886424982
baseline-normalized,HEAD,SAD,393675,7.37468906878788,119153,2.4087730979553
baseline-normalized,UTORSO,DISGUST,879159,7.18915965651542,340501,3.08865548076818
baseline-normalized,UTORSO,NEUTRAL,878828,10.0125963288332,275709,2.76414323322775
baseline-normalized,UTORSO,JOY,876420,8.20665903817188,306712,2.8535830367733
baseline-normalized,UTORSO,SAD,878749,7.72067051783232,330940,2.838794752392
baseline-normalized,LTORSO,DISGUST,389857,8.76013936487902,140904,3.32798309012825
baseline-normalized,LTORSO,NEUTRAL,399099,12.3916608994196,114530,3.00026978521996
baseline-normalized,LTORSO,JOY,397522,10.044157786772,132033,3.13660740267435
baseline-normalized,LTORSO,SAD,391869,9.69220493336168,133924,3.13622925105516
